"행정구역별","산업별",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"행정구역별","산업별",사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개),사업체수 (개)
"전국","전체 산업",3355459,3470023,3602461,3676859,3812800,3874156,3950169,4019872,4103172,4176549,4325195
"전국","농업, 임업 및 어업(01~03)",2253,2363,2388,2655,3159,3289,3627,3880,4261,4522,5948
"전국","광업(05~08)",1752,1781,1836,1881,2002,2006,2012,2001,1916,1776,1654
"전국","제조업(10~34)",336908,351346,371906,382575,409232,428643,430948,433684,437024,440766,453257
"전국","전기, 가스, 증기 및 공기조절 공급업(35)",951,985,1067,1121,1302,1393,1584,1829,2343,3119,4449
"전국","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",5996,6520,7089,7565,8366,8525,8521,8533,8972,9423,9627
"전국","건설업(41~42)",98859,106059,111181,118767,129667,133797,137220,138478,142840,146293,158401
"전국","도매 및 소매업(45~47)",873632,901399,939357,957058,993971,1015117,1017340,1022739,1027109,1028323,1064434
"전국","운수 및 창고업(49~52)",347289,354142,364349,371628,379044,379388,385968,386919,400282,409288,420889
"전국","숙박 및 음식점업(55~56)",636278,654892,673064,685669,702596,710248,729175,747577,766315,785706,829555
"전국","정보통신업(58~63)",26299,29902,33779,35290,40304,42425,42539,42887,43888,45303,49435
"전국","금융 및 보험업(64~66)",39485,40814,41799,41609,41969,42192,42809,43514,43568,43555,43242
"전국","부동산업(68)",114006,117682,119049,119832,127228,131079,143461,152083,160152,168481,177046
"전국","전문, 과학 및 기술 서비스업(70~73)",70372,76792,84260,87868,96865,102866,103223,104252,112302,118129,129778
"전국","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",48268,52823,56639,59755,65603,66668,67237,68177,70542,73282,77568
"전국","공공행정, 국방 및 사회보장 행정(84)",11869,11903,11939,12027,12057,12364,12454,12488,12521,12570,12385
"전국","교육 서비스업(85)",166527,170575,172289,173740,175606,175800,180595,185275,189800,193790,191529
"전국","보건업 및 사회복지 서비스업(86~87)",108081,114578,122764,127925,134208,132553,141372,145909,147452,150659,149351
"전국","예술, 스포츠 및 여가관련 서비스업(90~91)",101745,103675,104597,104222,103977,101055,110230,118797,121639,124621,123249
"전국","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",364889,371792,383109,385672,385644,384748,389854,400850,410246,416943,423398
"서울","전체 산업",729731,752285,780887,785094,812798,820658,820156,822863,823385,823624,848552
"서울","농업, 임업 및 어업(01~03)",18,20,21,21,18,17,25,29,30,24,64
"서울","광업(05~08)",17,23,30,19,27,23,22,21,24,20,11
"서울","제조업(10~34)",54411,56617,59870,59263,61652,63389,62150,61583,58970,57321,58865
"서울","전기, 가스, 증기 및 공기조절 공급업(35)",89,94,97,101,114,117,119,139,183,225,212
"서울","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",398,439,462,470,490,486,453,445,451,475,498
"서울","건설업(41~42)",19464,20546,21177,21411,22367,22695,22474,22228,21825,21626,22878
"서울","도매 및 소매업(45~47)",209510,215479,225346,225877,232616,234501,230451,228295,223955,220055,226571
"서울","운수 및 창고업(49~52)",92930,91819,92285,93415,95147,93635,94843,93702,95412,94759,95554
"서울","숙박 및 음식점업(55~56)",115918,119308,122338,123651,126542,126779,128199,130195,130595,132475,138253
"서울","정보통신업(58~63)",13717,16151,18515,19153,22496,23903,23397,23206,23384,23356,25273
"서울","금융 및 보험업(64~66)",9634,10001,10369,10218,10642,10891,11010,11165,11220,11444,11726
"서울","부동산업(68)",32761,33117,32974,32431,34350,35875,38378,39677,41282,43611,44812
"서울","전문, 과학 및 기술 서비스업(70~73)",26250,29132,32724,33543,37727,40626,39226,38937,41654,42782,47817
"서울","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",12371,13505,14589,14945,16473,16637,16007,15950,16198,16354,17119
"서울","공공행정, 국방 및 사회보장 행정(84)",1294,1319,1293,1275,1258,1285,1292,1296,1282,1296,1275
"서울","교육 서비스업(85)",30263,31299,31878,32318,33349,33618,34074,34762,35377,35761,35347
"서울","보건업 및 사회복지 서비스업(86~87)",22151,23402,24495,25349,26683,26528,27828,28683,28824,29168,29201
"서울","예술, 스포츠 및 여가관련 서비스업(90~91)",21263,21443,21551,21118,20941,20539,21540,22913,23025,23527,23235
"서울","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",67272,68571,70873,70516,69906,69114,68668,69637,69694,69345,69841
"부산","전체 산업",259972,263356,270058,271983,277713,278850,283554,286571,288860,290357,298386
"부산","농업, 임업 및 어업(01~03)",83,89,87,86,86,80,77,79,82,85,102
"부산","광업(05~08)",7,11,11,13,16,12,15,18,18,17,15
"부산","제조업(10~34)",27006,27693,28851,29123,30369,31458,31277,31012,30656,30630,31199
"부산","전기, 가스, 증기 및 공기조절 공급업(35)",31,29,32,33,34,37,41,49,61,85,87
"부산","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",361,377,402,420,444,438,443,431,447,467,463
"부산","건설업(41~42)",6222,6663,7103,7351,7962,8245,8692,8819,9003,9043,9580
"부산","도매 및 소매업(45~47)",74381,75207,77612,77694,79697,80017,80241,80645,80557,79464,81340
"부산","운수 및 창고업(49~52)",28280,27658,28018,28110,27966,28255,27880,27227,26904,26955,28343
"부산","숙박 및 음식점업(55~56)",48194,48631,49193,49480,49768,49347,50578,51352,52240,53391,55802
"부산","정보통신업(58~63)",1180,1276,1435,1548,1658,1679,1780,1796,1892,1942,2076
"부산","금융 및 보험업(64~66)",3198,3287,3338,3267,3215,3222,3270,3301,3302,3241,3171
"부산","부동산업(68)",7346,7782,8201,8479,9172,9422,10599,11388,11751,12303,12988
"부산","전문, 과학 및 기술 서비스업(70~73)",4646,4965,5460,5725,6215,6564,6729,6825,7319,7487,7981
"부산","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",4305,4484,4647,4781,5104,5017,5208,5240,5325,5274,5411
"부산","공공행정, 국방 및 사회보장 행정(84)",656,657,663,674,672,702,704,705,708,703,691
"부산","교육 서비스업(85)",11587,11743,11802,11799,11817,11748,12077,12282,12549,12792,12636
"부산","보건업 및 사회복지 서비스업(86~87)",6994,7248,7580,7892,8204,8157,8765,9147,9246,9667,9623
"부산","예술, 스포츠 및 여가관련 서비스업(90~91)",6953,6951,6848,6672,6599,6271,6819,7228,7261,7239,7117
"부산","협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",28542,28605,28775,28836,28715,28179,28359,29027,29539,29572,29761
"대구","전체 산업",183115,188300,192599,195716,198762,200069,205318,209376,210547,210944,214909
"대구","농업, 임업 및 어업(01~03)",10,8,10,13,20,22,16,15,18,22,31
"대구","광업(05~08)",3,5,10,10,11,8,9,8,6,6,7
"대구","제조업(10~34)",23858,24445,25603,25932,26574,27551,27511,27387,26961,26600,27088
"대구","전기, 가스, 증기 및 공기조절 공급업(35)",28,28,30,32,44,45,53,60,77,104,128
"대구","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",230,257,285,294,321,322,332,329,341,365,362
"대구","건설업(41~42)",4903,5138,5390,5796,6196,6481,6734,6748,6795,6772,7231
"대구","도매 및 소매업(45~47)",48846,50035,51908,52688,53760,54072,55387,55729,55470,54735,55527
"대구","운수 및 창고업(49~52)",19474,20724,19349,19930,20181,19737,19704,21171,21094,21059,21090
"대구","숙박 및 음식점업(55~56)",30980,31583,32223,32466,32415,32566,33787,34435,35154,35707,37259
"대구","정보통신업(58~63)",893,978,1031,1064,1173,1239,1272,1274,1254,1284,1362
"대구","금융 및 보험업(64~66)",2135,2173,2220,2225,2183,2186,2226,2252,2185,2176,2099
"대구","부동산업(68)",4405,4616,4874,5092,5535,5861,6440,6827,7243,7699,8212
"대구","전문, 과학 및 기술 서비스업(70~73)",3442,3656,3943,4067,4346,4551,4638,4636,4839,4930,5203
"대구","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",2363,2505,2675,2748,2887,2940,2975,2979,3029,3052,3140
"대구","공공행정, 국방 및 사회보장 행정(84)",418,419,423,423,425,445,447,450,449,449,442
"대구","교육 서비스업(85)",10486,10649,10574,10584,10369,10143,10632,10835,10957,11090,10885
"대구","보건업 및 사회복지 서비스업(86~87)",5267,5575,5939,6203,6397,6284,6806,7026,7100,7285,7183
