연도,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종,개성,합계
2021,3713891,1290387,928295,1042093,558106,594286,471793,4687268,1137935,1129889,1482070,1272614,1527926,2122187,1958431,502738,103381,14,24523304
2020,3692337,1287766,933257,1032731,553028,591180,470696,4615521,1112938,1108181,1451902,1243394,1497359,2086877,1935540,484825,100758,14,24198304
2019,3647702,1286717,932965,1026667,550818,588843,468077,4563003,1089261,1089307,1423311,1217739,1454637,2047790,1912803,461797,98581,14,23860032
2018,3605300,1282195,941398,1020655,545480,584853,465067,4482784,1062000,1065629,1390063,1193339,1423206,2015725,1889174,442334,92326,14,23501542
2017,3563803,1279193,929637,1005645,543151,576795,459420,4369707,1026188,1041178,1357245,1178675,1393273,1980254,1865308,418037,89514,0,23077023
2016,3506464,1270512,918572,978238,531637,556529,450632,4248808,1000910,1016059,1317480,1155045,1364679,1937384,1828814,385200,85756,0,22552719
2015,3467528,1263051,891935,955702,526471,538213,440557,4117575,975262,991176,1281942,1133398,1335482,1884765,1785232,358644,83028,254,22030215
2014,3441223,1252737,870345,936198,516639,522331,427835,3998459,950946,964440,1243023,1109077,1308664,1826845,1744017,339072,80165,253,21532269
2013,3396721,1238164,851861,916535,504496,513418,414659,3889183,930463,940692,1208741,1046867,1284336,1777464,1705087,324574,74187,245,21017693
2012,3297656,1217929,839322,905425,484454,504791,401743,3784921,908906,916759,1171169,1022299,1251282,1729293,1660652,311032,68018,248,20475899
2011,3213280,1192817,820940,884924,471124,483447,385869,3666846,886990,890383,1184303,973340,1201817,1662139,1599848,296567,0,232,19814866
2010,3127242,1168269,800585,862705,462672,465250,372924,3547389,868928,865909,1141204,943598,1160472,1607210,1551878,282977,0,238,19229450
