,날짜,온도
4383,20150101,-3.71
4384,20150102,-2.28
4385,20150103,-2.15
4386,20150104,3.33
4387,20150105,4.56
4388,20150106,3.38
4389,20150107,-1.42
4390,20150108,-0.22
4391,20150109,1.95
4392,20150110,3.17
4393,20150111,1.35
4394,20150112,0.07
4395,20150113,2.88
4396,20150114,4.97
4397,20150115,3.62
4398,20150116,1.59
4399,20150117,0.55
4400,20150118,-0.22
4401,20150119,3.69
4402,20150120,2.3
4403,20150121,4.12
4404,20150122,3.93
4405,20150123,2.57
4406,20150124,3.55
4407,20150125,6.16
4408,20150126,7.19
4409,20150127,1.08
4410,20150128,-1.56
4411,20150129,-0.1
4412,20150130,0.23
4413,20150131,-1.53
4414,20150201,-1.07
4415,20150202,1.45
4416,20150203,1.46
4417,20150204,1.56
4418,20150205,1.32
4419,20150206,2.51
4420,20150207,2.21
4421,20150208,-3.43
4422,20150209,-3.62
4423,20150210,3.46
4424,20150211,5.39
4425,20150212,1.99
4426,20150213,0.0
4427,20150214,2.92
4428,20150215,6.88
4429,20150216,7.29
4430,20150217,4.59
4431,20150218,2.57
4432,20150219,4.3
4433,20150220,5.26
4434,20150221,8.55
4435,20150222,6.52
4436,20150223,3.61
4437,20150224,4.31
4438,20150225,5.32
4439,20150226,4.87
4440,20150227,0.72
4441,20150228,2.48
4442,20150301,3.16
4443,20150302,4.34
4444,20150303,4.45
4445,20150304,0.8
4446,20150305,1.6
4447,20150306,4.96
4448,20150307,5.9
4449,20150308,8.06
4450,20150309,5.42
4451,20150310,-1.21
4452,20150311,3.75
4453,20150312,4.92
4454,20150313,5.78
4455,20150314,5.54
4456,20150315,7.56
4457,20150316,12.16
4458,20150317,14.23
4459,20150318,12.49
4460,20150319,13.49
4461,20150320,13.25
4462,20150321,13.71
4463,20150322,10.4
4464,20150323,5.6
4465,20150324,5.72
4466,20150325,6.35
4467,20150326,8.43
4468,20150327,9.77
4469,20150328,11.25
4470,20150329,13.03
4471,20150330,14.94
4472,20150331,15.0
4473,20150401,16.24
4474,20150402,15.38
4475,20150403,12.78
4476,20150404,12.64
4477,20150405,12.41
4478,20150406,11.52
4479,20150407,8.06
4480,20150408,9.16
4481,20150409,10.92
4482,20150410,11.68
4483,20150411,13.76
4484,20150412,14.5
4485,20150413,11.94
4486,20150414,8.1
4487,20150415,12.05
4488,20150416,12.12
4489,20150417,11.92
4490,20150418,14.67
4491,20150419,16.78
4492,20150420,13.93
4493,20150421,14.19
4494,20150422,14.02
4495,20150423,14.38
4496,20150424,15.78
4497,20150425,17.01
4498,20150426,18.17
4499,20150427,19.03
4500,20150428,17.31
4501,20150429,17.45
4502,20150430,19.56
4503,20150501,20.0
4504,20150502,20.26
4505,20150503,18.49
4506,20150504,15.68
4507,20150505,14.09
4508,20150506,15.35
4509,20150507,17.36
4510,20150508,17.85
4511,20150509,18.15
4512,20150510,18.92
4513,20150511,17.45
4514,20150512,15.85
4515,20150513,19.83
4516,20150514,21.93
4517,20150515,21.1
4518,20150516,19.75
4519,20150517,18.89
4520,20150518,16.24
4521,20150519,18.55
4522,20150520,17.65
4523,20150521,18.35
4524,20150522,21.13
4525,20150523,20.95
4526,20150524,21.14
4527,20150525,20.7
4528,20150526,22.42
4529,20150527,23.35
4530,20150528,24.52
4531,20150529,23.55
4532,20150530,19.89
4533,20150531,21.55
4534,20150601,23.1
4535,20150602,21.63
4536,20150603,22.43
4537,20150604,22.72
4538,20150605,18.89
4539,20150606,20.78
4540,20150607,21.67
4541,20150608,20.02
4542,20150609,22.23
4543,20150610,24.33
4544,20150611,23.02
4545,20150612,25.57
4546,20150613,24.47
4547,20150614,21.55
4548,20150615,23.6
4549,20150616,23.43
4550,20150617,21.18
4551,20150618,23.88
4552,20150619,23.78
4553,20150620,20.49
4554,20150621,21.93
4555,20150622,22.49
4556,20150623,24.15
4557,20150624,23.54
4558,20150625,22.4
4559,20150626,21.81
4560,20150627,21.57
4561,20150628,23.95
4562,20150629,24.09
4563,20150630,20.46
4564,20150701,22.59
4565,20150702,22.66
4566,20150703,24.05
4567,20150704,22.64
4568,20150705,23.0
4569,20150706,23.05
4570,20150707,20.5
4571,20150708,22.0
4572,20150709,25.16
4573,20150710,27.77
4574,20150711,26.35
4575,20150712,25.12
4576,20150713,23.12
4577,20150714,25.58
4578,20150715,25.61
4579,20150716,25.6
4580,20150717,25.31
4581,20150718,24.36
4582,20150719,26.77
4583,20150720,26.85
4584,20150721,25.99
4585,20150722,27.37
4586,20150723,25.97
4587,20150724,25.48
4588,20150725,27.2
4589,20150726,28.08
4590,20150727,26.42
4591,20150728,26.35
4592,20150729,28.68
4593,20150730,29.22
4594,20150731,28.89
4595,20150801,28.5
4596,20150802,28.44
4597,20150803,28.38
4598,20150804,28.59
4599,20150805,29.04
4600,20150806,29.72
4601,20150807,30.04
4602,20150808,28.18
4603,20150809,27.81
4604,20150810,27.34
4605,20150811,23.6
4606,20150812,23.61
4607,20150813,25.77
4608,20150814,26.09
4609,20150815,27.1
4610,20150816,26.43
4611,20150817,26.28
4612,20150818,25.91
4613,20150819,26.08
4614,20150820,23.92
4615,20150821,24.44
4616,20150822,24.9
4617,20150823,25.36
4618,20150824,24.76
4619,20150825,22.59
4620,20150826,23.42
4621,20150827,23.41
4622,20150828,24.47
4623,20150829,23.77
4624,20150830,24.38
4625,20150831,25.14
4626,20150901,25.15
4627,20150902,23.7
4628,20150903,23.35
4629,20150904,24.14
4630,20150905,22.79
4631,20150906,22.16
4632,20150907,22.48
4633,20150908,21.88
4634,20150909,21.98
4635,20150910,22.33
4636,20150911,22.29
4637,20150912,20.17
4638,20150913,19.72
4639,20150914,20.74
4640,20150915,21.15
4641,20150916,19.96
4642,20150917,22.17
4643,20150918,22.08
4644,20150919,22.02
4645,20150920,21.43
4646,20150921,22.52
4647,20150922,22.73
4648,20150923,18.81
4649,20150924,21.42
4650,20150925,22.15
4651,20150926,21.54
4652,20150927,22.09
4653,20150928,22.62
4654,20150929,23.85
4655,20150930,19.75
4656,20151001,18.96
4657,20151002,16.99
4658,20151003,18.44
4659,20151004,19.32
4660,20151005,19.92
4661,20151006,19.5
4662,20151007,19.16
4663,20151008,18.9
4664,20151009,17.78
4665,20151010,15.61
4666,20151011,14.12
4667,20151012,14.92
4668,20151013,16.08
4669,20151014,16.92
4670,20151015,17.97
4671,20151016,17.3
4672,20151017,18.04
4673,20151018,18.16
4674,20151019,18.65
4675,20151020,19.2
4676,20151021,19.16
4677,20151022,19.05
4678,20151023,18.86
4679,20151024,16.2
4680,20151025,16.8
