,연도,지역,주거용,업무용,산업용,구분
0,2015,32,1888434.0,7167806.0,7150379.0,강원
1,2015,31,15607128.0,35926057.0,53514818.0,경기
2,2015,38,4057544.0,9465814.0,20352968.0,경남
3,2016,32,1928362.0,7518305.0,7052102.0,강원
4,2016,31,16311036.0,37556383.0,55536480.0,경기
5,2016,38,4226226.0,9805211.0,20466039.0,경남
6,2017,32,1940933.0,7604170.0,7007712.0,강원
7,2017,31,16587710.0,38968213.0,59291937.0,경기
8,2017,38,4260988.0,10095297.0,20291580.0,경남
9,2018,32,2060563.0,7936747.0,6848525.0,강원
10,2018,31,18016468.0,41387394.0,63292092.0,경기
11,2018,38,4482335.0,10429993.0,20246284.0,경남
12,2019,32,2081091.477,7731338.639,6555844.462,강원
13,2019,31,18228494.887,41428415.915,63365396.41,경기
14,2019,38,4475991.806,10190050.869,19805974.713,경남
15,2020,32,2197106.0,7560921.109,32409.615,강원
16,2020,31,19387551.0,41953369.8,3535882.969,경기
17,2020,38,4718536.0,10310749.62,1740942.145,경남
18,2021,32,2289719.0,7877226.587,30084.415,강원
19,2021,31,20775255.0,43240946.145,3927790.434,경기
20,2021,38,4826057.0,10479951.616,1887575.713,경남
21,2022,32,21128150.326,46694471.559,163479778.75899997,경기
22,2022,31,2332244.59,8188727.954,14704604.375,강원
23,2022,38,4863307.753,10893843.443,43254816.249,경남
