,연도,local_id,주거용,업무용,산업용
0,2015,25,1849215.0,4728122.0,2605400.0
1,2015,21,4352290.0,8385914.0,7264105.0
2,2015,11,12964825.0,30375292.0,2041365.0
3,2016,25,1899110.0,4881042.0,2599482.0
4,2016,21,4472262.0,8760626.0,7234203.0
5,2016,11,13311577.0,31251430.0,1930229.0
6,2017,25,1872890.0,4910602.0,2640312.0
7,2017,21,4473510.0,8888045.0,7645804.0
8,2017,11,13131172.0,31228879.0,1938107.0
9,2018,25,1970225.0,5128876.0,2549723.0
10,2018,21,4660700.0,9105731.0,7450174.0
11,2018,11,13766796.0,32297703.0,1745711.0
12,2019,25,1938645.551,5107237.12,2369816.688
13,2019,21,4624741.633,8866658.428,7311009.716
14,2019,11,13499067.204,32037946.86,1630192.258
15,2020,25,2019639.0,5056112.949,2329469.051
16,2020,21,4837487.0,8666639.493,6999842.507
17,2020,11,13982706.0,30292410.48,1512809.517
18,2021,25,2102655.0,5219786.0,2426179.676
19,2021,21,4974889.0,8787262.028,7305681.972
20,2021,11,14656127.0,31074389.276,1565290.724
21,2022,11,14550100.0,32705710.0,1532862.965
22,2022,21,5054430.0,9253410.0,7185808.35
23,2022,25,2142124.0,5478454.0,2396298.847
