,구분,주거용,업무용,산업용,연도
0,강원,1888434.0,7167806,7150379,2015
1,경기,15607128.0,35926057,53514818,2015
2,경남,4057544.0,9465814,20352968,2015
3,강원,1928362.0,7518305,7052102,2016
4,경기,16311036.0,37556383,55536480,2016
5,경남,4226226.0,9805211,20466039,2016
6,강원,1940933.0,7604170,7007712,2017
7,경기,16587710.0,38968213,59291937,2017
8,경남,4260988.0,10095297,20291580,2017
9,강원,2060563.0,7936747,6848525,2018
10,경기,18016468.0,41387394,63292092,2018
11,경남,4482335.0,10429993,20246284,2018
12,강원,2081091.477,7731338.639,6555844.462,2019
13,경기,18228494.887,41428415.915,63365396.41,2019
14,경남,4475991.806,10190050.869,19805974.713,2019
15,강원,2197106.0,7560921.109,32409.615,2020
16,경기,19387551.0,41953369.8,3535882.969,2020
17,경남,4718536.0,10310749.62,1740942.145,2020
18,강원,2289719.0,7877226.587,30084.415,2021
19,경기,20775255.0,43240946.145,3927790.434,2021
20,경남,4826057.0,10479951.616,1887575.713,2021
21,경기,21128150.326,46694471.559,163479778.75899997,2022
22,강원,2332244.59,8188727.954,14704604.375,2022
23,경남,4863307.753,10893843.443,43254816.249,2022
