,연도,지역,주거용,업무용,산업용
0,2015,32,1888434.0,7167806.0,7150379.0
1,2015,31,15607128.0,35926057.0,53514818.0
2,2015,38,4057544.0,9465814.0,20352968.0
3,2016,32,1928362.0,7518305.0,7052102.0
4,2016,31,16311036.0,37556383.0,55536480.0
5,2016,38,4226226.0,9805211.0,20466039.0
6,2017,32,1940933.0,7604170.0,7007712.0
7,2017,31,16587710.0,38968213.0,59291937.0
8,2017,38,4260988.0,10095297.0,20291580.0
9,2018,32,2060563.0,7936747.0,6848525.0
10,2018,31,18016468.0,41387394.0,63292092.0
11,2018,38,4482335.0,10429993.0,20246284.0
12,2019,32,2081091.0,7731338.0,6555844.0
13,2019,31,18228494.0,41428415.0,63365396.0
14,2019,38,4475991.0,10190050.0,19805974.0
15,2020,32,2197106.0,7560921.0,32409.0
16,2020,31,19387551.0,41953369.0,3535882.0
17,2020,38,4718536.0,10310749.0,1740942.0
18,2021,32,2289719.0,7877226.0,30084.0
19,2021,31,20775255.0,43240946.0,3927790.0
20,2021,38,4826057.0,10479951.0,1887575.0
21,2022,32,21128150.0,46694471.0,163479778.0
22,2022,31,2332244.0,8188727.0,14704604.0
23,2022,38,4863307.0,10893843.0,43254816.0
