,연도,지역,업무용
0,2015,35,5669138
1,2016,35,5871554
2,2017,35,6007286
3,2018,35,6272350
4,2019,35,6153950
5,2020,35,6115793
6,2021,35,6228546
7,2022,35,6430646
8,2015,39,2229196
9,2016,39,2428538
10,2017,39,2610459
11,2018,39,2752105
12,2019,39,2795399
13,2020,39,2773654
14,2021,39,2960503
15,2022,39,3204253
16,2015,34,7760316
17,2016,34,8232709
18,2017,34,8254052
19,2018,34,8523766
20,2019,34,8496826
21,2020,34,8529998
22,2021,34,8352589
23,2022,34,8913143
24,2015,33,5670154
25,2016,33,5857157
26,2017,33,6071778
27,2018,33,6372071
28,2019,33,6321413
29,2020,33,6478375
30,2021,33,6725731
31,2022,33,7027841
