,연도,지역,주거용,업무용,산업용
0,2015,35,2276416,5669138,14141306
1,2016,35,2340425,5871554,14521517
2,2017,35,2326183,6007286,14466179
3,2018,35,2431432,6272350,14258176
4,2019,35,2397329,6153950,13729412
5,2020,35,2519052,6115793,11904066
6,2021,35,2588903,6228546,12669411
7,2022,35,2597581,6430646,12810244
8,2015,39,675632,2229196,1524725
9,2016,39,735092,2428538,1574571
10,2017,39,782601,2610459,1620486
11,2018,39,831090,2752105,1689407
12,2019,39,850988,2795399,1727896
13,2020,39,917914,2773654,1681719
14,2021,39,971492,2960503,1755734
15,2022,39,1005271,3204253,1835829
16,2015,33,1940308,5670154,15338569
17,2016,33,2011175,5857157,16140531
18,2017,33,2027281,6071778,16744435
19,2018,33,2184680,6372071,17683143
20,2019,33,2179833,6321413,18231055
21,2020,33,2291890,6478375,18131628
22,2021,33,2385627,6725731,19290704
23,2022,33,2434712,7027841,19949670
24,2015,34,2509792,7760316,37015953
25,2016,34,2629227,8232709,37591996
26,2017,34,2691823,8254052,39234334
27,2018,34,2897959,8523766,40590982
28,2019,34,2887131,8496826,41260895
29,2020,34,3038547,8529998,38854186
30,2021,34,3184715,8352589,37264321
31,2022,34,3250541,8913143,38095951
