연도,시간,평균전력거래량
2016,01:00,53725
2016,02:00,52201
2016,03:00,51889
2016,04:00,51827
2016,05:00,52098
2016,06:00,52697
2016,07:00,54047
2016,08:00,56067
2016,09:00,59633
2016,10:00,61620
2016,11:00,62198
2016,12:00,61933
2016,13:00,59062
2016,14:00,61053
2016,15:00,61738
2016,16:00,61493
2016,17:00,61728
2016,18:00,61386
2016,19:00,61223
2016,20:00,60926
2016,21:00,59948
2016,22:00,58407
2016,23:00,57405
2016,00:00,57046
2017,01:00,54879
2017,02:00,53333
2017,03:00,53011
2017,04:00,52959
2017,05:00,53352
2017,06:00,54286
2017,07:00,56059
2017,08:00,58217
2017,09:00,61454
2017,10:00,63230
2017,11:00,63705
2017,12:00,63340
2017,13:00,60624
2017,14:00,62512
2017,15:00,63220
2017,16:00,63047
2017,17:00,63392
2017,18:00,63097
2017,19:00,62905
2017,20:00,62521
2017,21:00,61394
2017,22:00,59739
2017,23:00,58587
2017,00:00,58306
2018,01:00,56814
2018,02:00,55247
2018,03:00,54915
2018,04:00,54833
2018,05:00,55168
2018,06:00,55984
2018,07:00,57645
2018,08:00,59776
2018,09:00,63416
2018,10:00,65041
2018,11:00,65306
2018,12:00,64845
2018,13:00,62418
2018,14:00,64152
2018,15:00,64873
2018,16:00,64836
2018,17:00,65395
2018,18:00,65255
2018,19:00,65041
2018,20:00,64611
2018,21:00,63449
2018,22:00,61728
2018,23:00,60450
2018,00:00,60203
2019,01:00,56180
2019,02:00,54505
2019,03:00,54172
2019,04:00,54135
2019,05:00,54463
2019,06:00,55280
2019,07:00,56949
2019,08:00,59147
2019,09:00,62641
2019,10:00,64025
2019,11:00,63869
2019,12:00,63273
2019,13:00,61065
2019,14:00,62810
2019,15:00,63634
2019,16:00,63810
2019,17:00,64673
2019,18:00,64656
2019,19:00,64534
2019,20:00,64180
2019,21:00,63020
2019,22:00,61274
2019,23:00,59846
2019,00:00,59506
2020,01:00,54634
2020,02:00,53030
2020,03:00,52642
2020,04:00,52445
2020,05:00,52720
2020,06:00,53575
2020,07:00,55344
2020,08:00,57498
2020,09:00,60788
2020,10:00,62004
2020,11:00,61567
2020,12:00,60904
2020,13:00,59078
2020,14:00,60496
2020,15:00,61326
2020,16:00,61782
2020,17:00,62982
2020,18:00,63268
2020,19:00,63300
2020,20:00,62932
2020,21:00,61585
2020,22:00,59715
2020,23:00,58290
2020,00:00,57887
2021,01:00,56685
2021,02:00,55256
2021,03:00,54781
2021,04:00,54518
2021,05:00,54821
2021,06:00,55834
2021,07:00,57904
2021,08:00,60447
2021,09:00,63592
2021,10:00,64441
2021,11:00,63793
2021,12:00,63117
2021,13:00,61625
2021,14:00,63028
2021,15:00,63956
2021,16:00,64674
2021,17:00,66070
2021,18:00,66597
2021,19:00,66711
2021,20:00,66201
2021,21:00,64617
2021,22:00,62388
2021,23:00,60458
2021,00:00,59886
